,index,Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased,index1
0,30 January ,1,1,0,0,0,0,,0
1,31 January ,0,1,0,0,0,0,,1
2,01 February ,0,1,0,0,0,0,,2
3,02 February ,1,2,0,0,0,0,,3
4,03 February ,1,3,0,0,0,0,,4
5,04 February ,0,3,0,0,0,0,,5
6,05 February ,0,3,0,0,0,0,,6
7,06 February ,0,3,0,0,0,0,,7
8,07 February ,0,3,0,0,0,0,,8
9,08 February ,0,3,0,0,0,0,,9
10,09 February ,0,3,0,0,0,0,,10
11,10 February ,0,3,0,0,0,0,,11
12,11 February ,0,3,0,0,0,0,,12
13,12 February ,0,3,0,0,0,0,,13
14,13 February ,0,3,1,1,0,0,,14
15,14 February ,0,3,0,1,0,0,,15
16,15 February ,0,3,0,1,0,0,,16
17,16 February ,0,3,1,2,0,0,,17
18,17 February ,0,3,0,2,0,0,,18
19,18 February ,0,3,0,2,0,0,,19
20,19 February ,0,3,0,2,0,0,,20
21,20 February ,0,3,1,3,0,0,,21
22,21 February ,0,3,0,3,0,0,,22
23,22 February ,0,3,0,3,0,0,,23
24,23 February ,0,3,0,3,0,0,,24
25,24 February ,0,3,0,3,0,0,,25
26,25 February ,0,3,0,3,0,0,,26
27,26 February ,0,3,0,3,0,0,,27
28,27 February ,0,3,0,3,0,0,,28
29,28 February ,0,3,0,3,0,0,,29
30,29 February ,0,3,0,3,0,0,,30
31,01 March ,0,3,0,3,0,0,,31
32,02 March ,2,5,0,3,0,0,,32
33,03 March ,1,6,0,3,0,0,,33
34,04 March ,22,28,0,3,0,0,,34
35,05 March ,2,30,0,3,0,0,,35
36,06 March ,1,31,0,3,0,0,,36
37,07 March ,3,34,0,3,0,0,,37
38,08 March ,5,39,0,3,0,0,,38
39,09 March ,9,48,0,3,0,0,,39
40,10 March ,15,63,1,4,0,0,,40
41,11 March ,8,71,0,4,0,0,,41
42,12 March ,10,81,0,4,1,1,,42
43,13 March ,10,91,6,10,0,1,,43
44,14 March ,11,102,0,10,1,2,,44
45,15 March ,10,112,3,13,0,2,,45
46,16 March ,14,126,1,14,0,2,,46
47,17 March ,20,146,1,15,1,3,,47
48,18 March ,25,171,0,15,0,3,,48
49,19 March ,27,198,5,20,1,4,,49
50,20 March ,58,256,3,23,0,4,,50
51,21 March ,78,334,0,23,0,4,,51
52,22 March ,69,403,0,23,3,7,,52
53,23 March ,94,497,2,25,2,9,,53
54,24 March ,74,571,15,40,1,10,,54
55,25 March ,86,657,3,43,1,11,,55
56,26 March ,73,730,7,50,5,16,,56
57,27 March ,153,883,25,75,3,19,,57
58,28 March ,136,1019,10,85,5,24,,58
59,29 March ,120,1139,17,102,3,27,,59
60,30 March ,187,1326,35,137,14,41,,60
61,31 March ,309,1635,13,150,6,47,,61
62,01 April ,424,2059,19,169,6,53,,62
63,02 April ,486,2545,22,191,16,69,,63
64,03 April ,560,3105,39,230,14,83,,64
65,04 April ,579,3684,56,286,13,96,,65
66,05 April ,609,4293,43,329,22,118,,66
67,06 April ,484,4777,65,394,16,134,,67
68,07 April ,573,5350,75,469,27,161,,68
69,08 April ,565,5915,96,565,20,181,,69
70,09 April ,813,6728,70,635,46,227,,70
71,10 April ,871,7599,151,786,22,249,,71
72,11 April ,854,8453,186,972,41,290,,72
73,12 April ,758,9211,114,1086,42,332,,73
74,13 April ,1243,10454,112,1198,27,359,,74
75,14 April ,1031,11485,167,1365,37,396,,75
76,15 April ,886,12371,144,1509,27,423,,76
77,16 April ,1061,13432,258,1767,26,449,,77
78,17 April ,922,14354,273,2040,38,487,,78
79,18 April ,1371,15725,426,2466,35,522,,79
80,19 April ,1580,17305,388,2854,38,560,,80
81,20 April ,1239,18544,419,3273,33,593,,81
82,21 April ,1537,20081,703,3976,53,646,,82
83,22 April ,1292,21373,394,4370,36,682,,83
84,23 April ,1667,23040,642,5012,40,722,,84
85,24 April ,1408,24448,484,5496,59,781,,85
86,25 April ,1835,26283,442,5938,44,825,,86
87,26 April ,1607,27890,585,6523,56,881,,87
88,27 April ,1568,29458,580,7103,58,939,,88
89,28 April ,1902,31360,636,7739,69,1008,,89
90,29 April ,1705,33065,690,8429,71,1079,,90
91,30 April ,1801,34866,630,9059,75,1154,,91
92,01 May ,2396,37262,962,10021,77,1231,,92
93,02 May ,2564,39826,831,10852,92,1323,,93
94,03 May ,2952,42778,911,11763,140,1463,,94
95,04 May ,3656,46434,1082,12845,103,1566,,95
96,05 May ,2971,49405,1295,14140,128,1694,,96
97,06 May ,3602,53007,1161,15301,91,1785,,97
98,07 May ,3344,56351,1475,16776,104,1889,,98
99,08 May ,3339,59690,1111,17887,97,1986,,99
100,09 May ,3175,62865,1414,19301,115,2101,,100
101,10 May ,4311,67176,1669,20970,112,2213,,101
102,11 May ,3592,70768,1579,22549,81,2294,,102
103,12 May ,3562,74330,1905,24454,120,2414,,103
104,13 May ,3726,78056,1963,26417,137,2551,,104
105,14 May ,3991,82047,1594,28011,97,2648,,105
106,15 May ,3808,85855,2234,30245,104,2752,,106
107,16 May ,4794,90649,4012,34257,120,2872,,107
108,17 May ,5049,95698,2538,36795,152,3024,,108
109,18 May ,4628,100326,2482,39277,131,3155,,109
110,19 May ,6154,106480,3032,42309,146,3301,,110
111,20 May ,5720,112200,3113,45422,134,3435,,111
112,21 May ,6023,118223,3131,48553,148,3583,,112
113,22 May ,6536,124759,3280,51833,142,3725,,113
114,23 May ,6667,131424,2576,54409,142,3867,,114
115,24 May ,7111,138537,3285,57694,156,4023,,115
116,25 May ,6414,144951,3012,60706,150,4173,,116
117,26 May ,5907,150858,3585,64291,173,4346,,117
118,27 May ,7246,158104,3434,67725,188,4534,,118
119,28 May ,7254,165358,3171,70896,176,4710,,119
120,29 May ,8138,173496,11735,82631,269,4979,,120
121,30 May ,8364,181860,4303,86934,205,5184,,121
122,31 May ,8789,190649,4928,91862,222,5406,,122
123,01 June ,7723,198372,3882,95744,201,5607,,123
124,02 June ,8812,207187,4531,100275,222,5829,,124
125,03 June ,9689,216876,3789,104064,259,6088,,125
126,04 June ,9847,226723,4390,108454,274,6362,,126
127,05 June ,9472,236195,4770,113224,286,6648,,127
128,06 June ,10408,246603,5433,118657,297,6945,,128
129,07 June ,10882,257485,5191,123848,261,7206,,129
130,08 June ,8536,266021,5171,129019,271,7477,,130
131,09 June ,9981,276002,5634,134653,272,7749,,131
132,10 June ,11156,287158,6275,140928,358,8107,,132
133,11 June ,11135,298293,6044,146972,394,8501,,133
134,12 June ,11306,309599,7263,154235,388,8889,,134
135,13 June ,12039,321638,8092,162327,309,9198,,135
136,14 June ,11405,333043,7358,169685,324,9522,,136
137,15 June ,10032,343075,10639,180324,396,9918,,137
138,16 June ,11086,354161,7226,187550,2004,11922,,138
139,17 June ,13108,367269,6890,194440,341,12263,,139
140,18 June ,13829,381098,10741,205181,343,12606,,140
141,19 June ,14740,395838,9029,214210,364,12970,,141
142,20 June ,15918,411753,13974,228184,308,13278,,142
143,21 June ,15151,426904,9075,237259,426,13704,,143
144,22 June ,13560,440464,10879,248138,312,14016,,144
145,23 June ,15656,456120,10462,258600,468,14484,,145
146,24 June ,16868,472988,13089,271689,424,14908,,146
147,25 June ,18205,491193,13983,285672,401,15309,,147
148,26 June ,18255,509448,10246,295918,381,15690,,148
149,27 June ,20142,529590,14229,310147,414,16104,,149
150,28 June ,19610,549200,11631,321778,384,16488,,150
151,29 June ,18339,567539,13497,335275,417,16905,,151
152,30 June ,18256,585795,12565,347840,506,17411,,152
153,01 July ,19429,605224,12064,359904,438,17849,,153
154,02 July ,21947,627171,19999,379903,378,18227,,154
155,03 July ,22718,649889,14417,394320,444,18671,,155
156,04 July ,24018,673907,14746,409066,611,19282,,156
